Taxon name,Phylum/Division,Class,Order,Family,,AphiaID,Match type,LSID,ScientificName,AphiaID_accepted,ScientificName_accepted
Ablennes hians,Chordata,Actinopterygii,Beloniformes,Belonidae,,159246,exact,urn:lsid:marinespecies.org:taxname:159246,Ablennes hians,159246,Ablennes hians
Abudefduf saxatilis,Chordata,Actinopterygii,Perciformes,Pomacentridae,,159288,exact,urn:lsid:marinespecies.org:taxname:159288,Abudefduf saxatilis,159288,Abudefduf saxatilis
Acanthocybium solandri,Chordata,Actinopterygii,Perciformes,Scombridae,,127014,exact,urn:lsid:marinespecies.org:taxname:127014,Acanthocybium solandri,127014,Acanthocybium solandri
Acanthurus bahianus,Chordata,Actinopterygii,Perciformes,Acanthuridae,,159578,exact,urn:lsid:marinespecies.org:taxname:159578,Acanthurus bahianus,159578,Acanthurus bahianus
Accipiter cooperii,Chordata,Aves,Ciconiiformes,Accipitridae,,159103,exact,urn:lsid:marinespecies.org:taxname:159103,Accipiter cooperii,159103,Accipiter cooperii
Accipiter gentilis,Chordata,Aves,Ciconiiformes,Accipitridae,,159104,exact,urn:lsid:marinespecies.org:taxname:159104,Accipiter gentilis,159104,Accipiter gentilis
Accipiter striatus,Chordata,Aves,Ciconiiformes,Accipitridae,,159105,exact,urn:lsid:marinespecies.org:taxname:159105,Accipiter striatus,159105,Accipiter striatus
Acentronura dendritica,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,,159442,exact,urn:lsid:marinespecies.org:taxname:159442,Acentronura dendritica,316266,Amphelikturus dendriticus
Acipenser brevirostrum,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,,157869,exact,urn:lsid:marinespecies.org:taxname:157869,Acipenser brevirostrum,157869,Acipenser brevirostrum
Acipenser oxyrhynchus,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,,157870,exact,urn:lsid:marinespecies.org:taxname:157870,Acipenser oxyrhynchus,151802,Acipenser oxyrinchus
Actitis macularia,Chordata,Aves,Ciconiiformes,Scolopacidae,,159081,near_2,urn:lsid:marinespecies.org:taxname:159081,Actitis macularius,159081,Actitis macularius
Agelaius phoeniceus,Chordata,Aves,Passeriformes,Fringillidae,,159394,exact,urn:lsid:marinespecies.org:taxname:159394,Agelaius phoeniceus,159394,Agelaius phoeniceus
Ahlia egmontis,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,,158595,exact,urn:lsid:marinespecies.org:taxname:158595,Ahlia egmontis,158595,Ahlia egmontis
Ahliesaurus berryi,Chordata,Actinopterygii,Aulopiformes,Notosudidae,,126347,exact,urn:lsid:marinespecies.org:taxname:126347,Ahliesaurus berryi,126347,Ahliesaurus berryi
Aix sponsa,Chordata,Aves,Anseriformes,Anatidae,,158938,exact,urn:lsid:marinespecies.org:taxname:158938,Aix sponsa,158938,Aix sponsa
Albula vulpes,Chordata,Actinopterygii,Albuliformes,Albulidae,,212256,exact,urn:lsid:marinespecies.org:taxname:212256,Albula vulpes,212256,Albula vulpes
Alca torda,Chordata,Aves,Ciconiiformes,Laridae,,137128,exact,urn:lsid:marinespecies.org:taxname:137128,Alca torda,137128,Alca torda
Aldrovandia affinis,Chordata,Actinopterygii,Notacanthiformes,Halosauridae,,126637,exact,urn:lsid:marinespecies.org:taxname:126637,Aldrovandia affinis,126637,Aldrovandia affinis
Aldrovandia gracilis,Chordata,Actinopterygii,Notacanthiformes,Halosauridae,,157880,exact,urn:lsid:marinespecies.org:taxname:157880,Aldrovandia gracilis,157880,Aldrovandia gracilis
Aldrovandia oleosa,Chordata,Actinopterygii,Notacanthiformes,Halosauridae,,157881,exact,urn:lsid:marinespecies.org:taxname:157881,Aldrovandia oleosa,157881,Aldrovandia oleosa
Aldrovandia phalacra,Chordata,Actinopterygii,Notacanthiformes,Halosauridae,,126638,exact,urn:lsid:marinespecies.org:taxname:126638,Aldrovandia phalacra,126638,Aldrovandia phalacra
Alectis ciliaris,Chordata,Actinopterygii,Perciformes,Carangidae,,159629,exact,urn:lsid:marinespecies.org:taxname:159629,Alectis ciliaris,159629,Alectis ciliaris
Alepisaurus brevirostris,Chordata,Actinopterygii,Aulopiformes,Alepisauridae,,126332,exact,urn:lsid:marinespecies.org:taxname:126332,Alepisaurus brevirostris,126332,Alepisaurus brevirostris
Alepisaurus ferox,Chordata,Actinopterygii,Aulopiformes,Alepisauridae,,126333,exact,urn:lsid:marinespecies.org:taxname:126333,Alepisaurus ferox,126333,Alepisaurus ferox
Alepocephalus agassizii,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,126681,exact,urn:lsid:marinespecies.org:taxname:126681,Alepocephalus agassizii,126681,Alepocephalus agassizii
Alepocephalus bairdii,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,126682,exact,urn:lsid:marinespecies.org:taxname:126682,Alepocephalus bairdii,126682,Alepocephalus bairdii
Alle alle,Chordata,Aves,Ciconiiformes,Laridae,,137129,exact,urn:lsid:marinespecies.org:taxname:137129,Alle alle,137129,Alle alle
Alopias superciliosus,Chordata,Elasmobranchii,Lamniformes,Alopiidae,,105835,exact,urn:lsid:marinespecies.org:taxname:105835,Alopias superciliosus,105835,Alopias superciliosus
Alopias vulpinus,Chordata,Elasmobranchii,Lamniformes,Alopiidae,,105836,exact,urn:lsid:marinespecies.org:taxname:105836,Alopias vulpinus,105836,Alopias vulpinus
